t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999930998437,-21.4999817243966,20.7799817933981,-0.000387627559942292,162.80357517576,-0.0631071525952615,-9.27063562652994e-12,-5.67771581507401e-12,9.39512888693361e-07
0.2,-0.719999257347514,-21.4999180515019,20.7799187941544,-0.000897027167060908,376.75141016558,-0.337956250147032,-6.02618755959802e-10,-2.02776037905667e-10,6.16474403300036e-05
0.3,-0.719996851311301,-21.4997967102738,20.7797998589625,-0.0014945709319344,627.719791412447,-0.938171753644968,-5.92631009812552e-09,-1.60386366871694e-09,0.000607612032484674
0.4,-0.719991180769032,-21.4996105616049,20.7796193808358,-0.00211429106689822,888.002248097251,-1.87749522053756,-2.99624020846383e-08,-7.43351776513929e-09,0.00307434256124384
0.5,-0.719980567589886,-21.4993586586199,20.77937809103,-0.00270240739538131,1135.01110606015,-3.06726240685686,-1.05209109281574e-07,-2.55170610718738e-08,0.0107972802961868
0.6,-0.71996343602293,-21.4990440391226,20.7790806030997,-0.00323660335895729,1359.37341076206,-4.39975254734971,-2.92732719058233e-07,-7.18647217305669e-08,0.0300395619379448
0.7,-0.719938464460128,-21.4986707173897,20.7787322529295,-0.00372256830390617,1563.47868764059,-5.82015620644366,-6.92615424219707e-07,-1.75492316944731e-07,0.0710565711754199
0.8,-0.719904626658114,-21.4982415942729,20.7783369676148,-0.00417953641658137,1755.40529496417,-7.33678035616253,-1.45416450833379e-06,-3.84355124518762e-07,0.149132060437754
0.9,-0.719861162080566,-21.4977578162387,20.7778966541582,-0.00462630754515286,1943.04916896419,-8.98914303098204,-2.78558501198414e-06,-7.72125193007231e-07,0.285555966323019
1,-0.719807530662301,-21.4972192205165,20.7774116898542,-0.00507386974243564,2131.02529182297,-10.8125447485456,-4.96298365212188e-06,-1.44543504432771e-06,0.508531551627809
1.1,-0.719743391112946,-21.4966251760007,20.7768817848877,-0.00552499525696753,2320.49800792636,-12.8207404875958,-8.33855309744053e-06,-2.55114930367988e-06,0.853997779363904
1.2,-0.719668613438195,-21.4959752613454,20.7763066479072,-0.00597784206280007,2510.69366637602,-15.0085302056683,-1.33476616854568e-05,-4.28320689012053e-06,1.36634004636179
1.3,-0.719583313941826,-21.4952695465949,20.775686232653,-0.0064301027050235,2700.64313610986,-17.3654127348032,-2.05144407337949e-05,-6.88859207188533e-06,2.09894859220512
1.4,-0.719487892884018,-21.4945085290129,20.7750206361289,-0.006881545020984,2890.24890881327,-19.8893779878484,-3.04553839446811e-05,-1.06720344408289e-05,3.11457572728023
1.5,-0.719383059288912,-21.4936929072844,20.7743098479955,-0.00733448655345953,3080.484352453,-22.593771061209,-4.38804690824171e-05,-1.59990983511255e-05,4.48544237558377
1.6,-0.719269836998539,-21.4928233684842,20.7735535314857,-0.00779288700389667,3273.01254163659,-25.5062168993106,-6.15913653304578e-05,-2.32973953857077e-05,6.29304967981769
1.7,-0.71914955425601,-21.4919004780213,20.7727509237653,-0.00826106131825525,3469.64575366719,-28.6629563236686,-8.44763725664401e-05,-3.3055733230003e-05,8.62765969368507
1.8,-0.719023822662965,-21.490924675698,20.7719008530351,-0.0087427366039044,3671.94937363984,-32.1028861966048,-0.000113501828679171,-4.58210953143033e-05,11.5874181819592
1.9,-0.718894510664928,-21.489896331703,20.771001821038,-0.00924069513603376,3881.09195713417,-35.8639875707895,-0.000149699808407063,-6.21934223974748e-05,15.2771012992256
2,-0.718763714010958,-21.4888158101013,20.7700520960904,-0.00975687229403228,4097.88636349355,-39.9825539240629,-0.000194152024021276,-8.28182354997875e-05,19.8064766519717
2.1,-0.718633723134744,-21.4876835076338,20.7690497844991,-0.0102926332719266,4322.90597420915,-44.4940858615552,-0.000247969932241131,-0.000108377196481337,25.2882787729317
2.2,-0.718506986267528,-21.48649986132,20.7679928750525,-0.0108489985804198,4556.57940377632,-49.4343234831397,-0.000312271160495013,-0.000139576747413753,31.8358101175622
2.3,-0.718386067321237,-21.4852653354272,20.7668792681059,-0.0114267185644932,4799.22179708715,-54.8393568038964,-0.000388152492567385,-0.000177135004107487,39.5601916881492
2.4,-0.71827359852935,-21.4839804029767,20.7657068044474,-0.0120262144905473,5051.01008602984,-60.7445306885125,-0.00047665979760608,-0.00022176710582259,48.567302169339
2.5,-0.718172228802441,-21.4826455326374,20.7644733038349,-0.0126474608248124,5311.93354642119,-67.1824714323686,-0.00057875544245325,-0.000274169246388504,58.9544605005381
