t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0.0,-0.719999999999999,-21.5,20.78,0.0,-7.37497126803516e-13,-0.0,2.5642598989143902e-23,-6.87387089031566e-21,-2.56425989891439e-18
0.1,-0.719999809893853,-21.4999817444515,20.7799819345576,-0.00038313623184,459.763478208043,-0.176152046578299,-8.83846019472211e-11,-9.70558134069982e-12,8.83846019472211e-06
0.2,-0.719998015741204,-21.4999182656726,20.7799202499314,-0.0008718448250103,1046.21379001237,-0.912136078676709,-1.6381006234880902e-09,-2.4200646281624e-10,0.00016381006234880902
0.3,-0.719991795813272,-21.4997976173463,20.7798058215331,-0.0014252654763879,1710.31857166553,-2.43765801382002,-9.46040235973728e-09,-1.5923726733556201e-09,0.0009460402359737281
0.4,-0.719977563654222,-21.4996130989377,20.7796355352835,-0.0019755062700803,2370.60752409647,-4.68315002775233,-3.36095268016958e-08,-6.343890643369171e-09,0.0033609526801695803
0.5,-0.719951711659338,-21.4993642321386,20.7794125204792,-0.0024724086257789,2966.89035093476,-7.3353652953915,-9.05602488312805e-08,-1.90635893884844e-08,0.009056024883128051
0.6,-0.719911236939744,-21.4990544697503,20.7791432328105,-0.0029006547970707,3480.7857564849,-10.0965579021235,-2.03781751709899e-07,-4.75851475883935e-08,0.020378175170989898
0.7,-0.719854037377669,-21.4986881396634,20.7788341022857,-0.0032733930287205,3928.07163446466,-12.8581223045716,-4.03877403446519e-07,-1.03944015004172e-07,0.0403877403446519
0.8,-0.71977887787838,-21.4982683542711,20.7784894763927,-0.0036155779170853,4338.69350050244,-15.6868844094185,-7.28471732702471e-07,-2.05137948928714e-07,0.0728471732702471
0.9,-0.719685168014564,-21.4977964039368,20.7781112359222,-0.0039491874291946,4739.02491503358,-18.7152976210909,-1.2219166249508e-06,-3.73609805422543e-07,0.12219166249508001
1.0,-0.719572720228772,-21.4972722480154,20.7776995277866,-0.0042862618069158,5143.51416829896,-22.0464483329102,-1.934768302135e-06,-6.37380177579246e-07,0.1934768302135
1.1,-0.719441598234862,-21.4966953918268,20.7772537935919,-0.0046294781362532,5555.37376350383,-25.7184813768557,-2.92292202005005e-06,-1.02978810830504e-06,0.292292202005005
1.2,-0.719292077885935,-21.4960655810069,20.776773503121,-0.0049766291818467,5971.9550182161,-29.7202056163304,-4.24629594331401e-06,-1.58882549323073e-06,0.424629594331401
1.3,-0.719124679437218,-21.4953830816212,20.7762584021839,-0.005325191587217,6390.2299046604,-34.0291985286802,-5.96700666113692e-06,-2.3560745418e-06,0.596700666113692
1.4,-0.718940211662051,-21.4946486057517,20.7757083940897,-0.0056748287523219,6809.79450278632,-38.6444176418158,-8.14704322544424e-06,-3.37527837400831e-06,0.814704322544424
1.5,-0.718739785699462,-21.4938630762073,20.7751232905078,-0.0060275887747652,7233.10652971826,-43.5981917252109,-1.08454996854608e-05,-4.69059280417553e-06,1.08454996854608
1.6,-0.71852478702063,-21.4930274101763,20.7745026231557,-0.0063867288116814,7664.0745740177,-48.9483658967539,-1.41154581418876e-05,-6.34458221741367e-06,1.41154581418876
