t,z1,z2,rel,vrel,Fpto,Ppto,Tmoor
0,-0.719999999999999,-21.29,20.57,0,1.15707158431597e-26,0,0
0.1,-0.720000000268385,-21.2899999999747,20.5699999997063,-1.29396518129368e-08,0.015527582175524,-2.00921506848044e-10,0
0.2,-0.720000006336036,-21.2899999994236,20.5699999930876,-1.55512602130079e-07,0.186615122556093,-2.90210033055217e-08,0
0.3,-0.720000041360848,-21.289999996318,20.5699999549572,-6.99736042079313e-07,0.839683250495176,-5.87556634301787e-07,0
0.4,-0.720000160371566,-21.2899999859291,20.5699998255575,-2.06031127521342e-06,2.47237353025609,-5.09385906092582e-06,0
0.5,-0.720000461610759,-21.2899999599342,20.5699994983235,-4.7486681155785e-06,5.69840173869418,-2.70598186462941e-05,0
0.6,-0.720001092959105,-21.2899999059974,20.5699988130382,-9.31630385177628e-06,11.1795646221315,-0.000104152220950346,0
0.7,-0.72000225342515,-21.2899998078288,20.5699975544037,-1.63057646407216e-05,19.5669175688659,-0.000319053552622329,0
0.8,-0.720004190727735,-21.2899996455956,20.5699954548678,-2.62145529181013e-05,31.4574635017215,-0.00082464334163512,0
0.9,-0.720007195999077,-21.2899993965203,20.5699922005213,-3.9468711749321e-05,47.3624540991852,-0.00186933504858119,0
1,-0.720011596198496,-21.2899990355543,20.5699874393558,-5.64009918937617e-05,67.6811902725139,-0.0038172862639202,0
1.1,-0.720017744467107,-21.2899985360701,20.569980791603,-7.72307276032388e-05,92.6768731238865,-0.0071575023433508,0
1.2,-0.720026008561206,-21.2899978705708,20.5699718620096,-0.000102045389892948,122.454467871537,-0.0124959139180845,0
1.3,-0.720036757607875,-21.2899970114251,20.5699602538172,-0.000130785293324967,156.94235198996,-0.020525751540117,0
1.4,-0.720050347578272,-21.2899959316313,20.5699455840531,-0.000163232908766464,195.879490519756,-0.0319739790052327,0
1.5,-0.720067105966692,-21.2899946055968,20.5699274996301,-0.000199007422885525,238.808907462629,-0.0475247452362456,0
1.6,-0.720087316172332,-21.2899930099057,20.5699056937333,-0.000237564372966451,285.077247559741,-0.0677241975635318,0
1.7,-0.720111202034982,-21.2899911240471,20.5698799220121,-0.000278199761890083,333.839714268098,-0.0928741290188383,0
1.8,-0.720138912915633,-21.2899889310795,20.5698500181639,-0.000320058018478343,384.069622174011,-0.12292456223074,0
1.9,-0.720170509664484,-21.2899864182148,20.5698159085503,-0.000362143326185377,434.571991422451,-0.15737734644073,0
2,-0.720205951786863,-21.2899835773118,20.5697776255249,-0.000403334022637386,484.000827164863,-0.195214000580226,0
2.1,-0.720245086098938,-21.2899804052752,20.5697353191762,-0.000442399891102466,530.879869322958,-0.234861196376968,0
2.2,-0.720287637151607,-21.2899769043541,20.5696892672025,-0.000478022220139538,573.626664167444,-0.274206291536559,0
2.3,-0.720333199689883,-21.2899730823367,20.5696398826469,-0.000508816528741731,610.579834490076,-0.310673111904941,0
2.4,-0.720381233405597,-21.2899689526364,20.5695877192308,-0.000533357863805519,640.029436566622,-0.341364733059823,0
2.5,-0.720431060232759,-21.2899645342667,20.5695334740339,-0.000550208577816113,660.250293379334,-0.363275374922915,0
2.6,-0.720481864427015,-21.2899598517028,20.5694779872758,-0.00055794847701774,669.538172421287,-0.373567803607698,0
2.7,-0.720532695660324,-21.2899549346319,20.5694222389716,-0.00055520718213787,666.248618565443,-0.369906018116968,0
2.8,-0.720582475345083,-21.2899498175957,20.5693673422506,-0.000540698459462022,648.838151354425,-0.350825788877524,0
2.9,-0.720630006375806,-21.2899445395335,20.5693145331577,-0.000513256162760847,615.907395313014,-0.316118266334386,0
3,-0.720673986436417,-21.2899391432363,20.5692651567999,-0.000471871285838995,566.245543006793,-0.267195012479215,0
3.1,-0.720713024967306,-21.2899336747267,20.5692206497594,-0.000415729474379422,498.875369255305,-0.207397195041348,0
3.2,-0.720745663816398,-21.2899281825804,20.569182518764,-0.00034424819811955,413.097837743459,-0.142208186290268,0
3.3,-0.720770401515068,-21.2899227172112,20.5691523156961,-0.000257112653217282,308.535183860738,-0.0793282997333164,0
3.4,-0.720785721023333,-21.2899173301406,20.5691316091173,-0.000154309361039882,185.171233247858,-0.0285736546854439,0
3.5,-0.720790120683784,-21.2899120732773,20.5691219525935,-3.61563620959513e-05,43.3876345151411,-0.00156873902401623,0
3.6,-0.720782148012688,-21.2899069982319,20.5691248502192,9.6671122136712e-05,-116.005346564054,-0.0112143670262053,0
3.7,-0.720760435844728,-21.2899021556918,20.569141719847,0.000243120669027843,-291.744802833411,-0.0709291916502552,0
3.8,-0.720723740238441,-21.2898975948822,20.5691738546438,0.000401749325575267,-482.099190690321,-0.193683024720218,0
3.9,-0.720670979447153,-21.2898933631349,20.5692223836878,0.000570717920531066,-684.861504637279,-0.390862733778365,0
4,-0.72060127316843,-21.2898895055845,20.5692882324161,0.000747793836294513,-897.352603553414,-0.671034745920077,0
4.1,-0.72051398120691,-21.2898860650083,20.5693720838014,0.000930362900404063,-1116.43548048487,-1.03869015173791,0
4.2,-0.720408740623466,-21.2898830818202,20.5694743411968,0.00111545087734858,-1338.54105281829,-1.49307679173326,0
4.3,-0.720285500399459,-21.2898805942241,20.5695950938246,0.00129975484662424,-1559.70581594908,-2.02723519358783,0
4.4,-0.720144552620486,-21.2898786385243,20.5697340859038,0.00147968454549166,-1775.62145458998,-2.62735962500021,0
4.5,-0.719986559180551,-21.2898772495876,20.569890690407,0.00165141353571124,-1981.69624285348,-3.27259999911634,0
4.6,-0.719812573026246,-21.2898764614396,20.5700638884134,0.00181093982189875,-2173.1277862785,-3.93540364624641,0
4.7,-0.719624053003074,-21.2898763079758,20.5702522549727,0.00195415530325811,-2344.98636390972,-4.58246753910212,0
4.8,-0.719422871434112,-21.2898768237565,20.5704539523223,0.00207692317865698,-2492.30781438838,-5.17633186805115,0
4.9,-0.719211313656558,-21.2898780448519,20.5706667311953,0.00217516214702561,-2610.19457643073,-5.67759643902368,0
5,-0.718992068865766,-21.2898800096941,20.5708879408283,0.00224493595337984,-2693.9231440558,-6.04768492173293,0
5.1,-0.718768211771341,-21.2898827598892,20.5711145481178,0.00228254653169667,-2739.055838036,-6.25202240323257,0
5.2,-0.718543174755052,-21.2898863409371,20.5713431661821,0.00228462870036874,-2741.55444044248,-6.26343395825824,0
5.3,-0.71832071043557,-21.2898908028043,20.5715700923688,0.00224824408963184,-2697.89290755821,-6.06552178387741,0
5.4,-0.718104844787899,-21.289896200291,20.5717913555031,0.00217097174297112,-2605.16609156533,-5.65574197053485,0
5.5,-0.71789982123034,-21.2899025931366,20.5720027719063,0.00205099265868268,-2461.19119041921,-5.04788506316428,0
5.6,-0.71771003637247,-21.2899100458078,20.5722000094354,0.00188716544701769,-2264.59853642122,-4.27367210930096,0
5.7,-0.717539968404296,-21.2899186269185,20.5723786585142,0.00167909029464967,-2014.9083535796,-3.38321306110406,0
5.8,-0.717394099387896,-21.2899284082382,20.5725343088503,0.00142715856940705,-1712.59028328845,-2.44413789867835,0
5.9,-0.717276832975525,-21.2899394632546,20.5726626302791,0.00113258567529631,-1359.10281035557,-1.53930037426368,0
6,-0.717192409308584,-21.2899518652698,20.5727594559612,0.0007974251828233,-956.910219387956,-0.763064306640926,0
6.1,-0.717144819036534,-21.28996568502,20.5728208659835,0.000424562803948857,-509.475364738631,-0.2163042893963,0
6.2,-0.717137718521126,-21.289980987832,20.5728432693109,1.76894351106513e-05,-21.227322132781,-0.000375499337440721,0
6.3,-0.717174348349939,-21.2899978303396,20.5728234819897,-0.000418746774538347,502.496129446018,-0.210418633423524,0
6.4,-0.717257457266825,-21.2900162568084,20.5727587995416,-0.000879608598002584,1055.5303176031,-0.928453542816085,0
6.5,-0.717389233533311,-21.2900362951327,20.5726470615993,-0.00135915664620967,1630.9879754516,-2.2167681467231,0
6.6,-0.717571245566511,-21.2900579525866,20.5724867070201,-0.00185115280284007,2221.38336340807,-4.11212003935515,0
6.7,-0.717804393461545,-21.290081211429,20.5722768179675,-0.00234897733264304,2818.77279917164,-6.62123341112497,0
6.8,-0.718088872711132,-21.2901060244739,20.5720171517627,-0.00284575632849736,3414.90759419683,-9.71799489741932,0
6.9,-0.718424151095991,-21.29013231075,20.571708159654,-0.00333449583642374,4001.39500370847,-13.3426349797526,0
7,-0.718808959353236,-21.29015995138,20.5713509920268,-0.00380821885032058,4569.86262038469,-17.4030369743244,0
7.1,-0.719241295853969,-21.2901887858115,20.5709474899575,-0.00426010140004491,5112.12168005388,-21.7781567263975,0
7.2,-0.719718445152274,-21.2902186085323,20.5705001633801,-0.00468360415334672,5620.32498401605,-26.3233774382959,0
7.3,-0.720237009921714,-21.2902491663962,20.5700121564745,-0.00507259628628412,6087.11554354093,-30.877479700348,0
7.4,-0.720792955483439,-21.2902801566751,20.5694872011917,-0.00542146880979962,6505.76257175953,-35.2707888667561,0
7.5,-0.72138166586117,-21.2903112259439,20.5689295600827,-0.00572523502742739,6870.28203291285,-39.3339793431377,0
7.6,-0.721998010075474,-21.2903419698842,20.5683439598087,-0.00597961629462809,7175.53955355369,-42.906973237178,0
7.7,-0.722636417213138,-21.2903719340809,20.5677355168677,-0.00618111171189489,7417.33405427385,-45.8473703939089,0
7.8,-0.723290958671697,-21.2904006158615,20.5671096571898,-0.00632705077824146,7592.46093388973,-48.0378858605349,0
7.9,-0.72395543587831,-21.2904274672121,20.5664720313338,-0.00641562833844463,7698.75400613354,-49.3923443724644,0
8,-0.72462347170605,-21.2904518987806,20.5658284270746,-0.00644592137124991,7735.10564549987,-49.8598827892034,0
8.1,-0.725288603752283,-21.290473284961,20.5651846812087,-0.00641788729750736,7701.46475700881,-49.4271328362075,0
8.2,-0.725944377595138,-21.2904909700278,20.5645465924327,-0.00633234356265521,7598.81227518623,-48.1182899946009,0
8.3,-0.726584438101707,-21.2905042752761,20.5639198371744,-0.00619092830469372,7429.11396563245,-45.9931119286293,0
8.4,-0.727202616826084,-21.2905125070964,20.5633098902703,-0.00599604200158774,7195.25040190527,-43.143023621765,0
8.5,-0.727793013510642,-21.2905149659012,20.5627219523906,-0.00575077014710076,6900.9241765209,-39.6856287417423,0
8.6,-0.728350069700113,-21.2905109557947,20.5621608860946,-0.00545878727270943,6550.5447272513,-35.7580301864332,0
8.7,-0.728868632507584,-21.2904997948623,20.5616311623547,-0.0051242430458075,6149.09165496899,-31.5094401510078,0
8.8,-0.729344006650187,-21.2904808259356,20.5611368192854,-0.00475163174501426,5701.9580940171,-27.0936050882727,0
8.9,-0.729771993016332,-21.2904534276698,20.5606814346535,-0.00434564713632183,5214.77656358618,-22.6615788401065,0
9,-0.730148912250115,-21.2904170257531,20.560268113503,-0.00391102562174393,4693.23074609271,-18.355345696725,0
9.1,-0.730471612154361,-21.2903711040517,20.5598994918973,-0.00345238145684376,4142.8577482125,-14.3027252682703,0
9.2,-0.730737458125844,-21.2903152154789,20.559577757353,-0.00297403876874123,3568.84652248946,-10.613887917571,0
9.3,-0.730944306344423,-21.2902489923694,20.559304686025,-0.0024798659727458,2975.83916729495,-7.37968229133896,0
9.4,-0.731090460030881,-21.2901721561309,20.5590816961,-0.00197311889821854,2367.74267786225,-4.67183782380857,0
9.5,-0.731174609748564,-21.2900845259482,20.5589099161996,-0.00145629940894649,1747.55929073578,-2.54496956219745,0
9.6,-0.731195759423684,-21.2899860263214,20.5587902668977,-0.000931036466448091,1117.2437597377,-1.04019468222737,0
9.7,-0.731153140465345,-21.2898766932347,20.5587235527693,-0.000397996380209681,477.595656251616,-0.19008134239201,0
9.8,-0.731046117039956,-21.2897566787731,20.5587105617332,0.000143171614772107,-171.805937726528,-0.0245977335317431,0
9.9,-0.730874086155236,-21.2896262540389,20.5587521678837,0.00069384931818562,-832.619181822742,-0.577712251615979,0
10,-0.730636376696527,-21.2894858102527,20.5588494335562,0.00125641930596313,-1507.70316715575,-1.89430736687624,0
10.1,-0.730332151897272,-21.2893358579733,20.559003706076,0.00183418838926825,-2201.0260671219,-4.03709645679176,0
10.2,-0.729960319887073,-21.2891770244161,20.559216704529,0.00243126464686903,-2917.51757624283,-7.09325733973822,0
10.3,-0.729519456926109,-21.2890100489052,20.5594905919791,0.00305238992684946,-3662.86791221935,-11.1805011186385,0
10.4,-0.729007747695114,-21.2888357765466,20.5598280288514,0.00370273175378644,-4443.27810454372,-16.4522669285981,0
10.5,-0.728422946570671,-21.2886551502636,20.560232203693,0.00438764049511119,-5265.16859413341,-23.1016669372074,0
10.6,-0.727762363191154,-21.2884692013843,20.5607068381932,0.00511237932000157,-6134.85518400188,-31.3637067738956,0
10.7,-0.727022874837061,-21.288279039013,20.561256164176,0.0058818358273805,-7058.20299285658,-41.5151912403081,0
10.8,-0.726200967245848,-21.2880858384564,20.5618848712106,0.00670022515291137,-8040.27018349362,-53.8716205196473,0
10.9,-0.725292804497514,-21.2878908289974,20.5625980244999,0.00757079484528597,-9084.95381434315,-68.7803215072902,0
11,-0.724294327588492,-21.287695281329,20.5634009537405,0.00849554181958484,-10194.6501835018,-86.6090769699777,0
11.1,-0.723201380302154,-21.2875004949624,20.5642991146602,0.00947495127243786,-11369.9415269254,-107.729641938086,0
11.2,-0.72200986002608,-21.2873077859205,20.5652979258944,0.0105077666310735,-12609.3199572882,-132.495791487721,0
11.3,-0.72071589029558,-21.2871184750089,20.5664025847133,0.0115907984793269,-13908.9581751922,-161.21593126604,0
11.4,-0.719316011087429,-21.2869338769308,20.5676178658434,0.0127187790455873,-15262.5348547047,-194.120808492564,0
11.5,-0.717807382267317,-21.2867552904802,20.5689479082128,0.0138842673428755,-16661.1208114506,-231.327455578127,0
11.6,-0.71618799511986,-21.2865839900036,20.5703959948838,0.0150776085082644,-18093.1302099172,-272.801133994183,0
11.7,-0.714456886563763,-21.2864212182791,20.5719643317153,0.0162869493745682,-19544.3392494818,-318.317663915698,0
11.8,-0.712614350472563,-21.2862681809082,20.5736538304356,0.0174983108809109,-20997.9730570931,-367.429060422006,0
11.9,-0.710662140474231,-21.2861260422723,20.5754639017981,0.0186957166286022,-22434.8599543226,-419.43578430839,0
12,-0.70860365867879,-21.2859959230493,20.5773922643705,0.019861375730957,-23833.6508771483,-473.369095111494,0
12.1,-0.706444124969629,-21.2858788992437,20.5794347742741,0.0209759170864178,-25171.1005037013,-527.986917139527,0
12.2,-0.704190721779121,-21.285776002633,20.5815852808539,0.0220186713038052,-26422.4055645662,-581.786263182015,0
12.3,-0.701852709644161,-21.2856882224951,20.5838355128509,0.0229679956968248,-27561.5948361897,-633.034591595235,0
12.4,-0.699441509295905,-21.2856165084385,20.5861749991426,0.0238016370090041,-28561.9644108048,-679.821509170069,0
12.5,-0.69697074657709,-21.2855617741282,20.5885910275511,0.0244971258006932,-29396.5509608317,-720.131006993983,0
12.6,-0.694456257099976,-21.285524901666,20.591068644566,0.0250321957072916,-30038.6348487499,-751.932986313776,0
12.7,-0.691916048257458,-21.2855067463655,20.5935906981081,0.0253852200579745,-30462.2640695694,-773.29127687015,0
12.8,-0.689370216980191,-21.2855081416404,20.5961379246602,0.0255356576399528,-30642.7891679433,-782.483773325853,0
12.9,-0.686840822489525,-21.2855299037141,20.5986890812246,0.0254644987358148,-30557.3984829777,-778.128835039575,0
13,-0.684351714223357,-21.2855728358568,20.6012211216335,0.0251547019978015,-30185.6423973618,-759.310839117839,0
13.1,-0.681928316096229,-21.2856377318539,20.6037094157577,0.0245916123117084,-29509.9347740501,-725.696875307242,0
13.2,-0.679597369276951,-21.2857253784245,20.6061280091475,0.0237633496088022,-28516.0195305626,-677.636141556189,0
13.3,-0.677386636700227,-21.2858365563247,20.6084499196245,0.022661158669268,-27193.3904031215,-616.233734680487,0
13.4,-0.675324573541111,-21.2859720398995,20.6106474663584,0.0212797103783382,-25535.6524540057,-543.391288543143,0
13.5,-0.673439968836721,-21.2861325948803,20.6126926260436,0.0196173456825465,-23540.8148190558,-461.808301954231,0
13.6,-0.671761564298134,-21.2863189742714,20.6145574099733,0.017676254661636,-21211.5055939631,-374.939974635607,0
13.7,-0.670317657079867,-21.2865319122178,20.6162142551379,0.0154625846672982,-18555.1016007578,-286.909829512039,0
13.8,-0.669135693828398,-21.286772115806,20.6176364219776,0.0129864733400486,-15583.7680080583,-202.37818777415,0
13.9,-0.668241863685665,-21.28704025481,20.6187983911243,0.0102620044293571,-12314.4053152285,-126.370481889773,0
14,-0.667660698058114,-21.2873369494617,20.6196762514035,0.00730708661542509,-8768.50393851009,-64.0722177663892,0
14.1,-0.667414684865321,-21.2876627563903,20.620248071525,0.00414325785290021,-4971.90942348021,-20.5999027627429,0
14.2,-0.667523904656221,-21.2880181529411,20.6204942482849,0.000795420008780682,-954.504010536818,-0.759231588442392,0
14.3,-0.668005695437142,-21.2884035201434,20.6203978247063,-0.00270848936762212,3250.18724114654,-8.8030975854265,0
14.4,-0.668874352317946,-21.2888191246534,20.6199447723354,-0.00633787952994489,7605.45543593388,-48.2024603233134,0
14.5,-0.670140867182049,-21.2892651000436,20.6191242328615,-0.0100599332622487,12071.9199146985,-121.442708689078,0
14.6,-0.671812712562307,-21.2897414278463,20.617928715284,-0.0138400668668285,16608.0802401942,-229.85694105394,0
14.7,-0.673893672800574,-21.2902479187808,20.6163542459802,-0.0176424119195055,21170.8943034065,-373.505638005009,0
14.8,-0.676383724427883,-21.2907841946078,20.6144004701799,-0.021430307242648,25716.3686911776,-551.10968221715,0
14.9,-0.679278966568095,-21.2913496710507,20.6120707044826,-0.0251667899122595,30200.1478947114,-760.040777385367,0
15,-0.682571601079065,-21.2919435422084,20.6093719411294,-0.0288150748521441,34578.0898225728,-996.370246481599,0
15.1,-0.686249961136085,-21.2925647668582,20.6063148057221,-0.032339013609139,38806.8163309667,-1254.97416145449,0
15.2,-0.690298586059786,-21.2932120570086,20.6029134709488,-0.0357035241766024,42844.2290119228,-1529.68996635508,0
15.3,-0.694698339416021,-21.2938838690152,20.5991855295992,-0.0388749851684446,46649.9822021335,-1813.51736621615,0
15.4,-0.699426566783085,-21.2945783975171,20.5951518307341,-0.0418215891800274,50185.9070160327,-2098.85438585158,0
15.5,-0.704457289101047,-21.2952935723931,20.590836283292,-0.0445136517530909,53416.3821037089,-2377.75823087454,0
15.6,-0.709761427193392,-21.2960270588703,20.5862656316769,-0.0469238739486245,56308.6487383493,-2642.21993561568,0
