t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999885186269,-21.4999817320842,20.7799818468979,-0.000385929777686351,277.869439934172,-0.107238091179626,4.42139999248108e-12,-1.4251807759147e-12,-4.62398170368572e-07
0.2,-0.719998792611783,-21.4999181335993,20.7799193409875,-0.000887602545348721,639.073832651077,-0.567243560526859,4.43914265487387e-11,-6.95942057647086e-11,-4.83413383786094e-06
0.3,-0.719994972309767,-21.4997970584768,20.779802086167,-0.00146878716183635,1057.52675652217,-1.55328172327819,-3.25000680301889e-10,-5.46800012489962e-10,3.17313435944915e-05
0.4,-0.719986147050079,-21.499611538011,20.7796253909609,-0.00206286309475552,1485.26142822397,-3.0638909863471,-3.53055479544563e-09,-2.47841119000001e-09,0.000356702982924296
0.5,-0.719969948065703,-21.4993608103289,20.7793908622632,-0.00261742405308521,1884.54531822135,-4.93265424504166,-1.63697272535238e-08,-8.32738852881203e-09,0.00166486277666438
0.6,-0.719944300520954,-21.4990480813728,20.7791037808518,-0.00311276747033909,2241.19257864414,-6.97631135356888,-5.30595684539239e-08,-2.30369685630554e-08,0.00541011522959699
0.7,-0.719907627483,-21.4986774979058,20.7787698704228,-0.00355737378998224,2561.3091287872,-9.11153396278983,-1.38695315872807e-07,-5.54663429228923e-08,0.0141584189628067
0.8,-0.719858862856572,-21.4982520561747,20.7783931933181,-0.00397262614718179,2860.29082597088,-11.3628661237961,-3.12941885035123e-07,-1.20183478796353e-07,0.0319636135966508
0.9,-0.719797348530513,-21.4977729728976,20.7779756243671,-0.00437850580398125,3152.52417886649,-13.8033454143582,-6.33880415943414e-07,-2.3956111953106e-07,0.0647582816453416
1,-0.719722711907099,-21.497240147249,20.7775174353419,-0.00478633511296733,3446.16128133647,-16.4944827458093,-1.18198993543272e-06,-4.46092794470242e-07,0.12075787891243
1.1,-0.719634789320068,-21.496653015568,20.7770182262479,-0.00519871389751266,3743.0740062091,-19.4591708554976,-2.06423917131666e-06,-7.84827520645267e-07,0.21087590968656
1.2,-0.719533611715065,-21.4960112362491,20.776477624534,-0.00561344334392449,4041.67920762562,-22.687737246324,-3.4182084933625e-06,-1.31581354231932e-06,0.349142252976634
1.3,-0.719419431524507,-21.4953149715921,20.7758955400676,-0.00602784323184543,4340.0471269287,-26.1611236999474,-5.41608452653371e-06,-2.11643985368022e-06,0.553108738738256
1.4,-0.719292757097218,-21.494564820415,20.7752720633178,-0.00644129757971474,4637.73425739461,-29.873026447516,-8.26829522070374e-06,-3.28356600543317e-06,0.844218331748001
1.5,-0.719154369400794,-21.4937615890714,20.7746072196706,-0.00685564279658811,4936.06281354343,-33.8398834711755,-1.222649505586e-05,-4.93533306466788e-06,1.24810826017369
1.6,-0.719005312556853,-21.4929060773695,20.7739007648126,-0.00727417054620286,5237.40279326605,-38.0977611373765,-1.75855718408076e-05,-7.21254981741548e-06,1.79481346277878
1.7,-0.718846863641048,-21.4919989698759,20.7731521062349,-0.00770030389340212,5544.21880324951,-42.6921696365354,-2.46843257458476e-05,-1.02795475697777e-05,2.51883456761793
1.8,-0.718680492793212,-21.4910408347376,20.7723603419443,-0.00813668060378386,5858.41003472437,-47.6680112985545,-3.39044650755569e-05,-1.43243942356622e-05,3.45903397578717
1.9,-0.718507822916102,-21.4900321824844,20.7715243595683,-0.00858486450574892,6181.10244413921,-53.0639269790886,-4.56675720709957e-05,-1.95583545540098e-05,4.6583245308172
2,-0.718330593115009,-21.4889735314158,20.7706429383008,-0.00904552313956005,6512.77666048322,-58.9114719851876,-6.04297192558485e-05,-2.62144797291568e-05,6.16311806954223
2.1,-0.718150625435506,-21.4878654470955,20.76971482166,-0.0095187732125388,6853.51671302792,-65.2370712996571,-7.8673467684039e-05,-3.45452086985689e-05,8.0225064023113
2.2,-0.717969792344331,-21.4867085497094,20.7687387573651,-0.0100044561352698,7203.20841739422,-72.0641826450264,-0.000100897057479869,-4.48188673420004e-05,10.2871554221323
2.3,-0.717789982695741,-21.4855035003199,20.7677135176242,-0.01050224755997,7561.61824317838,-79.4139867438447,-0.00012760071044664,-5.73149643149616e-05,13.0079043063449
2.4,-0.717613065452685,-21.4842509815796,20.7666379161269,-0.0110116265383392,7928.37110760421,-87.3042616942964,-0.000159270103097461,-7.23182058082021e-05,16.2340760217498
