t,z1,z2,rel,vrel,Fpto,Ppto,x1,x2,Tmoor
0,-0.719999999999999,-21.5,20.78,0,-7.37497126803516e-13,-0,2.56425989891439e-23,-6.87387089031566e-21,0
0.1,-0.719999809957184,-21.4999817444402,20.779981934483,-0.000383139726047646,459.767671257172,-0.176155259611037,-2.9112041261741e-10,-3.07505417310652e-11,2.25106593404654e-05
0.2,-0.719998017496231,-21.4999182654152,20.7799202479189,-0.000871891707851166,1046.2700494214,-0.912234180263548,-5.6256231575341e-09,-7.2118086584342e-10,0.000434668138921157
0.3,-0.719991808242671,-21.4997976156922,20.7798058074495,-0.00142549236868953,1710.59084242743,-2.4384341918305,-3.27292495407939e-08,-4.72287876819424e-09,0.00252749285203276
0.4,-0.719977614724623,-21.4996130925752,20.7796354778505,-0.001976210181742,2371.45221809039,-4.68648801890487,-1.16384734650185e-07,-1.88457024611717e-08,0.00898245792924418
0.5,-0.719951865377578,-21.4993642138949,20.7794123485173,-0.0024740981885983,2968.91782631795,-7.34539421619044,-3.12932207575632e-07,-5.67886743737481e-08,0.024136105727704
0.6,-0.719911614298407,-21.4990544266303,20.7791428123319,-0.00290408130036166,3484.89756043399,-10.1204258389323,-7.01166862655991e-07,-1.42115738376002e-07,0.0540420839210298
0.7,-0.719854839318845,-21.4986880508313,20.7788332115124,-0.00327956143615341,3935.47372338408,-12.9066278562055,-1.38126196636178e-06,-3.11016503428174e-07,0.106380507042276
0.8,-0.719780408602997,-21.4982681891337,20.7784877805307,-0.00362574162749082,4350.88995298898,-15.7752028191837,-2.47247958937282e-06,-6.14407689039571e-07,0.190274945918578
0.9,-0.719687857294947,-21.4977961204191,20.7781082631242,-0.00396483032452612,4757.79638943133,-18.8638554027382,-4.11008604639678e-06,-1.1190127026215e-06,0.316050345627867
1,-0.719577143606138,-21.4972717910694,20.7776946474632,-0.00430906943774371,5170.88332529244,-22.2816953031562,-6.4414593801171e-06,-1.90716947245308e-06,0.494931536970734
1.1,-0.719448494071518,-21.4966946921906,20.7772461981191,-0.0046612986274946,5593.55835299351,-26.0732458736196,-9.6211246093133e-06,-3.07523352544391e-06,0.738662165910252
1.2,-0.719302360275947,-21.4960645542285,20.7767621939525,-0.00501942425535271,6023.30910642323,-30.2335438262676,-1.38044494223353e-05,-4.73055086278231e-06,1.05902334521902
1.3,-0.71913944604799,-21.4953816273638,20.7762421813158,-0.00538097869803373,6457.17443764046,-34.7459180984313,-1.91399089471802e-05,-6.98707022155484e-06,1.46724474563779
1.4,-0.718960745720292,-21.4946466074022,20.7756858616819,-0.00574561612722118,6894.7393526654,-39.6145256176608,-2.57600637408965e-05,-9.95974784908124e-06,1.97331891190241
1.5,-0.718767551540296,-21.4938604008012,20.7750928492609,-0.00611530570186149,7338.36684223377,-44.8763565926635,-3.37715932260996e-05,-1.37579704816671e-05,2.58524477498762
1.6,-0.718561418856901,-21.4930239086452,20.7744624897883,-0.00649315373848978,7791.78448618772,-50.5932545659965,-4.32448435347098e-05,-1.84782819650699e-05,3.30823523023661
1.7,-0.718344101405954,-21.4921379201396,20.7737938187336,-0.00688200491961088,8258.40590353303,-56.8343900562579,-5.42033873435058e-05,-2.41967423188e-05,4.14392652852077
1.8,-0.718117477446864,-21.4912031157655,20.7730856383187,-0.00728356431286752,8740.27717544101,-63.6603709196127,-6.66140806880744e-05,-3.09612715293058e-05,5.08962618652161
1.9,-0.717883483081607,-21.4902201301887,20.7723366471071,-0.00769821566936715,9237.85880324056,-71.1150293905077,-8.03780654809555e-05,-3.8784332097799e-05,6.13763330860576
2,-0.717644059356498,-21.4891896199986,20.7715455606421,-0.00812531825964581,9750.38191157494,-79.2249561846401,-9.53231222129209e-05,-4.76362848424746e-05,7.27466183916744
2.1,-0.717401111550021,-21.4881123035162,20.7707111919662,-0.00856364704049059,10276.3764485887,-88.0032607609236,-0.000111197727614396,-5.74397142589961e-05,8.48139351579498
2.2,-0.717156475540087,-21.4869889670363,20.7698324914962,-0.00901172904336226,10814.0748520347,-97.4535124211745,-0.000127667111843334,-6.80649668426769e-05,9.73218276486088
2.3,-0.71691188686939,-21.4858204494405,20.7689085625711,-0.00946798968773266,11361.5876252792,-107.571394472414,-0.000144311533306691,-7.93270826557461e-05,10.9949300153219
2.4,-0.716668950822974,-21.4846076214312,20.7679386706082,-0.0099307499655181,11916.8999586217,-118.343753853165,-0.000160626894675966,-9.09842314431998e-05,12.2311327516129
2.5,-0.716429114294776,-21.4833513706715,20.7669222563767,-0.0103981661059034,12477.7993270841,-129.74623003915,-0.000176027714320052,-0.0001027376936538,13.3961153298133
2.6,-0.716193641332524,-21.482052596272,20.7658589549395,-0.0108681887967608,13041.8265561129,-141.741033266443,-0.000189852350430261,-0.000114233357144418,14.4394296910148
2.7,-0.715963594028427,-21.4807122101962,20.7647486161678,-0.0113385753329708,13606.2903995649,-154.275948697743,-0.000201370259413071,-0.000125064634963938,15.3054103005544
2.8,-0.715739819506055,-21.4793311410326,20.7635913215265,-0.0118069482861529,14168.3379433834,-167.284833398266,-0.000209790964317775,-0.000134776650836073,15.9338585839327
2.9,-0.715522942827125,-21.4779103365006,20.7623873936735,-0.01227087485502,14725.049826024,-180.689243649075,-0.000214274320523034,-0.000142871488849686,16.2608253856719
3,-0.715313365095856,-21.4764507632314,20.7611373981355,-0.0127279417344361,15273.5300813233,-194.40060095424,-0.000213941600461643,-0.00014881426417377,16.2194549944299
3.1,-0.71511126592026,-21.4749534042472,20.759842138327,-0.0131758118725872,15810.9742471046,-208.322422202172,-0.000207886881230154,-0.000152039743800907,15.740851396236
3.2,-0.714916609535713,-21.473419255429,20.7585026458933,-0.0136122618497911,16334.7142197493,-222.352407200734,-0.000195188211641734,-0.000151959231550076,14.7549268792397
3.3,-0.714729154104877,-21.4718493221656,20.7571201680607,-0.0140352059183396,16842.2471020075,-236.384406204234,-0.000174918060442797,-0.000147967430673909,13.1911950571509
3.4,-0.71454846384815,-21.4702446167976,20.7556961529494,-0.0144427140375643,17331.2568450771,-250.310386525026,-0.000146152605274346,-0.000139449010909037,10.9794748236365
